,location_name,address
21582,Beloit Center of Blackhawk Technical College,"50 Eclipse Center, Beloit, WI 53511"
21583,The Armory,"10 South High Street, Janesville, WI 53548"
21584,Lakeside School of Massage Therapy,"1726 N. First Street, Milwaukee, WI 53212"
21585,Lakeside School of Massage Therapy - Madison,"6121 Odana Road, Madison, WI 53719-1103"
21586,Cardinal Stritch University,"6801 N Yates Rd, Milwaukee, WI 53217-3985"
21587,Cardinal Stritch University at Kenosha,"9080 76th Street, Kenosha, WI 53158"
21588,Cardinal Stritch University at Madison,"8017 Excelsior Drive, Madison, WI 53717-1908"
21589,Cardinal Stritch University at Rochester Campus,"14 Second St SW Suite 202, Rochester, MN 55902"
21590,Cardinal Stritch University at Twin Cities Campus,"3300 Edinborough Way #320, Edina, MN 55435"
21591,Cardinal Stritch University at Appleton North High School,"5000 North Ballard Road, Appleton, WI 54913"
21592,Cardinal Stritch University at D.J. Bordini Center,"5 North Systems Drive, Appleton, WI 54913"
21593,Cardinal Stritch University at Fox Valley Technical College,"1825 N. Bluemound Dr, Appleton, WI 54912"
21594,Cardinal Stritch University at Baraboo Army Ammunition,"1 Badger Rd., Baraboo, WI 53913"
21595,Cardinal Stritch University at Beloit Mall - Eclipse Center,"27 Eclipse Center, Beloit, WI 53511"
21596,Cardinal Stritch University at Comfort Inn Suites,"10580 Baltimore Street NE, Blaine, MN 55449"
21597,Cardinal Stritch University at National Sports Center - Schwan Center,"1700 105th Ave NE, Blaine, MN 55449"
21598,Cardinal Stritch University at The Village of Blaine,"4325 Pheasant Ridge, Blaine, MN 55449-4539"
21599,Cardinal Stritch University at Executive Center,"155 S Executive Drive, Brookfield, WI 53005"
21600,Cardinal Stritch University at Brown Deer High School,"8060 North 60th Street, Brown Deer, WI 53223"
21601,Cardinal Stritch University at Dean Elementary School,"8355 N 55th Street, Brown Deer, WI 53223"
21602,Cardinal Stritch University at Burlington High School,"400 McKanna Parkway, Burlington, WI 53139"
21603,Cardinal Stritch University at Gateway Tech College,"380 McCanna Parkway, Burlington, WI 53105"
21604,Cardinal Stritch University at Robert Morris University,"401 S. State Street, Chicago, IL 60605"
21605,Cardinal Stritch University at Country Inn Suites,"155 Coon Rapids Blvd., Coon Rapids, MN 55433"
21606,Cardinal Stritch University at Springbrook Executive Plaza,"9145 Springbroo Drive NW, Coon Rapids, MN 55433"
21607,Cardinal Stritch University at Pentair Water Co. Training Ctr. Lab,"175 S Wright Street, Delevan, WI 53115"
21608,Cardinal Stritch University at Holiday Inn Eau Claire,"2703 Craig Road, Eau Claire, WI 54701"
21609,Cardinal Stritch University at Prairie Lakes Corporate Center,"11010 Prairie Lakes, Eden Prairie, MN 55344-3881"
21610,Cardinal Stritch University at Aurora Medical Center,"975 Port Washington Road, Grafton, WI 53024"
21611,Cardinal Stritch University at Airport Settle Inn,"2620 S Packerland Drive, Green Bay, WI 54313"
21612,Cardinal Stritch University at CESA 7,"595 Beaten Road, Green Bay, WI 54304"
21613,Cardinal Stritch University at Greendale Middle School,"6800 Schoolway, Greendale, WI 53129"
21614,Cardinal Stritch University at Howards Grove Middle School,"503 Kennedy Avenue, Howards Grove, WI 53083"
21615,Cardinal Stritch University at Franklin M.S.,"450 North Crosby, Janesville, WI 53545"
21616,Cardinal Stritch University at Wilson Elementary,"465 Rockport Road, Janesville, WI 53548"
21617,Cardinal Stritch University at St. Coletta of Wisconsin,"W4955 Hwy 18, Jefferson, WI 53549"
21618,Cardinal Stritch University at Country Inn & Suites,"7011 122nd Ave, Kenosha, WI 53142"
21619,Cardinal Stritch University at Education Support Center,"3600 52nd Street, Kenosha, WI 53144"
21620,Cardinal Stritch University at Gateway Technical College,"3520 30th Ave, Kenosha, WI 53144"
21621,Cardinal Stritch University at Indian Trail Academy,"6800 60th Street, Kenosha, WI 53144"
21622,Cardinal Stritch University at Kenosha Unified School District,"3600 52nd St, Kenosha, WI 53144"
21623,Cardinal Stritch University at Mahone Middle School,"6900 60th Street, Kenosha, WI 53144"
21624,Cardinal Stritch University at Radisson,"200 Harborview Plaza, LaCrosse, WI 54601"
21625,Cardinal Stritch University at American Family,"6000 American Parkway, Madison, WI 53777"
21626,Cardinal Stritch University at Baymont Inn,"8102 Excelsior Drive, Madison, WI 53717"
21627,Cardinal Stritch University at Best Western East Towne Suites,"4801 Annamark Dr., Madison, WI 53704"
21628,Cardinal Stritch University at Comfort Inn Suites,"1253 John Q Hammonds Drive, Madison, WI 53717"
21629,Cardinal Stritch University at Howard Johnson Plaza Hotel,"3841 E. Washington Ave., Madison, WI 53704"
21630,Cardinal Stritch University at Park Centre I,"8025 Excelsior Drive, Madison, WI 53717"
21631,Cardinal Stritch University at Washington JR High School,"2101 Division, Manitowoc, WI 54220"
21632,Cardinal Stritch University at Marshall Elementary School,"617 Madison Street, Marshall, WI 53559"
21633,Cardinal Stritch University at McFarland High School,"5101 Farwell, McFarland, WI 53558"
21634,Cardinal Stritch University at Buttes Des Mortes Elementary School,"501 Tayco Street, Menasha, WI 54952"
21635,Cardinal Stritch University at Menasha High School,"420 Seventh Street, Menasha, WI 54952"
21636,Cardinal Stritch University at Community Memorial Hospital,"W180 N8085 Town Hall, Menomonee Falls, WI 53051"
21637,Cardinal Stritch University at Homestead High School,"5000 W Mequon Road, Mequon, WI 53092"
21638,Cardinal Stritch University at Burdick Elementary School,"4348 South Griffin Avenue, Milwaukee, WI 53207"
21639,Cardinal Stritch University at Catholic Family Life,"1100 West Wells Street, Milwaukee, WI 53223"
21640,Cardinal Stritch University at Eastbrook Academy,"5375 N Green Bay Ave, Milwaukee, WI 53207"
21641,Cardinal Stritch University at Greendale High School,"6801 Southway, Milwaukee, WI 53129"
21642,Cardinal Stritch University at Greentree Community Learning Center,"3744 W Green Tree Road, Milwaukee, WI 53217"
21643,Cardinal Stritch University at Hilton Milwaukee River,"4700 N Port Washington Road, Milwaukee, WI 53212"
21644,Cardinal Stritch University at Kluge Elementary,"5760 N 67 Street, Milwaukee, WI 53218"
21645,Cardinal Stritch University at Marquette University High School,"3401 W Wisconsin Ave, Milwaukee, WI 53208"
21646,Cardinal Stritch University at Milwaukee Academy of Science,"815 N James Lovell, Milwaukee, WI 53233"
21647,Cardinal Stritch University at MPS Admin Building,"5225 W Vliet Street, Milwaukee, WI 53201"
21648,Cardinal Stritch University at MPS MTEA,"5130 West Vliet Street, Milwaukee, WI 53208"
21649,Cardinal Stritch University at Next Door Foundation,"2545 N 29 Street, Milwaukee, WI 53210"
21650,Cardinal Stritch University at Pabst Brewery Building #14,"1037 W. McKinley, Milwaukee, WI 53203"
21651,Cardinal Stritch University at Pulaski High Shcool,"2500 W Oklahoma Ave, Milwaukee, WI 53215"
21652,Cardinal Stritch University at Radisson North Shore,"7065 N Port Washington Road, Milwaukee, WI 53217"
21653,Cardinal Stritch University at Social Development Commission,"4041 N Richards Street, Milwaukee, WI 53212"
21654,Cardinal Stritch University at St. Ann's Center for Intergenerational Care,"2801 E. Morgan Ave., Milwaukee, WI 53207"
21655,Cardinal Stritch University at UCC Middle School,"920 S 9th Street, Milwaukee, WI 53204"
21656,Cardinal Stritch University at VA Hospital,"5000 W National Ave, Milwaukee, WI 53295"
21657,Cardinal Stritch University at West Milwaukee Middle School,"5104 W Greenfield Ave, Milwaukee, WI 53214"
21658,Cardinal Stritch University at United Community Center,"1028 South 9th Street, Milwaukee, WI 53204"
21659,Cardinal Stritch University at Monona Grove High School,"4400 Monona Drive, Monona, WI 53716"
21660,Cardinal Stritch University at NSP Training Center,"2100 West River Road, Monticello, MN 55362"
21661,Cardinal Stritch University at AmericInn Hotel and Suites,"2200 Highway 10, Moundsview, MN 55112"
21662,Cardinal Stritch University at New Berlin Middle/High School,"18695 W Cleveland Avenue, New Berlin, WI 53146"
21663,Cardinal Stritch University at Horace Mann High School,"325 McKinley St, North Fond du lac, WI 53937"
21664,Cardinal Stritch University at Oak Creek Community Center,"8580 S. Howell Ave., Oak Creek, WI 53154"
21665,Cardinal Stritch University at Oak Creek High School,"340 E Puetz Road, Oak Creek, WI 53154"
21666,Cardinal Stritch University at Summit Elementary School,"1680 Valley Rd, Oconomowoc, WI 53066"
21667,Cardinal Stritch University at Asa Clark Middle School,"472 Lake Street, Pewaukee, WI 53072"
21668,Cardinal Stritch University at Horizon Elementary,"458 Lake Street, Pewaukee, WI 53072"
21669,Cardinal Stritch University at Pewaukee High School,"510 Lake Street, Pewaukee, WI 53072"
21670,Cardinal Stritch University at Prairie Ridge Retail Market,"9080 76th St, Pleasant Prairie, WI 53158"
21671,Cardinal Stritch University at Hennipen Tech College,"1820 Xenium Lane N, Plymouth, MN 55441"
21672,Cardinal Stritch University at Two Carlson Parkway,"Two Carlson Parkway Room 3, Plymouth, MN 55447"
21673,Cardinal Stritch University at Case High School,"7345 Washington Avenue, Racine, WI 53406"
21674,Cardinal Stritch University at Racine Area Manufacturers and Commerce,"300 S. 5th St., Racine, WI 53403"
21675,Cardinal Stritch University at St. Rita School,"4433 Douglas Ave, Racine, WI 53402"
21676,Cardinal Stritch University at Starbuck Middle School,"1516 South Ohio Street, Racine, WI 53405"
21677,Cardinal Stritch University at Southeast Technical College,"308 Pioneer Road, Red Wing, MN 55066"
21678,Cardinal Stritch University at Voyageur Inn and Conference Center,"200 Viking Drive, Reedsburg, WI 53959"
21679,Cardinal Stritch University at Westosha Central High School,"24617 75th Street, P, Salem, WI 53168"
21680,Cardinal Stritch University at Longfellow Elementary School,"819 Kentucky Ave, Sheboygan, WI 53081"
21681,Cardinal Stritch University at Sheboygan South High School,"3128 South 12th Street, Sheboygan, WI 53081"
21682,Cardinal Stritch University at Shorewood High School,"1701 East Capitol Drive, Shorewood, WI 53211"
21683,Cardinal Stritch University at Shorewood Middle School,"3830 N Morris Blvd, Shorewood, WI 53211"
21684,Cardinal Stritch University at Patrick Marsh Middle School,"1351 Columbus St., Sun Prairie, WI 53590"
21685,Cardinal Stritch University at Prairie View Middle School,"400 North Thompson Road, Sun Prairie, WI 53590"
21686,Cardinal Stritch University at Sussex Hamilton High School,"W220 N6151 Townline Road, Sussex, WI 53089"
21687,Cardinal Stritch University at Verona High School,"300 Richard Street, Verona, WI 53593"
21688,Cardinal Stritch University at Kettle Moraine High School,"349 N. Oak Crest Dr., Wales, WI 53183"
21689,Cardinal Stritch University at Lindholm Building,"2222 Maple Ave, Waukesha, WI 53186"
21690,Cardinal Stritch University at Waukesha North High School,"2222 Michigan Ave, Waukesha, WI 53188"
21691,Cardinal Stritch University at Waukesha West High School,"3301 Saylesville Road, Waukesha, WI 53189"
21692,Cardinal Stritch University at John Muir Middle School,"1400 Stewart Ave, Wausau, WI 54401"
21693,Cardinal Stritch University at Westwood Conference Center,"1800 W Bridge St, Wausau, WI 54401"
21694,Cardinal Stritch University at Eisenhower Elementary School,"11600 W Center Street, Wauwatosa, WI 53222"
21695,Cardinal Stritch University at First Congregational Church,"1511 Church Street, Wauwatosa, WI 53213"
21696,Cardinal Stritch University at Wauwatosa East,"7500 Milwaukee Ave, Wauwatosa, WI 53213"
21697,Cardinal Stritch University at Wauwatosa West High School,"11400 W Center Street, Wauwatosa, WI 53222"
21698,Cardinal Stritch University at Whitman Middle School,"11100 W Center St, Wauwatosa, WI 53222"
21699,Cardinal Stritch University at Learning Center,"135 South 70th Street, West Allis, WI 53214"
21700,Cardinal Stritch University at Parkway Community Building,"2930 South Root River Parkway, West Allis, WI 53227"
21701,Cardinal Stritch University at Clairemont Inn & Meeting Center,"2520 W. Washington St., West Bend, WI 53095"
21702,Cardinal Stritch University at Glacier Hillls Credit Union,"2150 S. Main Street, West Bend, WI 53095"
21703,Cardinal Stritch University at Hampton Inn and Suites,"1975 South 18th Aven, West Bend, WI 53095"
21704,Cardinal Stritch University at West Bend East High School,"1305 E Decorah Road, West Bend, WI 53095"
21705,Cardinal Stritch University at West Bend Mutual Insurance Company,"1900 S. 18th Ave., West Bend, WI 53095"
21706,Cardinal Stritch University at West Bend School District,"735 S Main Street, West Bend, WI 53095"
21707,Cardinal Stritch University at Nathan Hale High School,"11601 W Lincoln Ave, West Milwaukee, WI 53222"
21708,Cardinal Stritch University at Wilmot Union High School,"11112 308th Avenue, Wilmot, WI 53192"
21709,Cardinal Stritch University at Valley Creek Commons,"8380 City Center Drive, Woodbury, MN 55125"
21710,Cardinal Stritch University at City Center Professional Building,"1625 Radio Drive, Woodbury, MN 55125"
21711,Cardinal Stritch University at Wisconsin School Leadership Center - WASDA,"4797 Hayes Road Suite 201, Madison, WI 53704"
21712,Cardinal Stritch University at High Crossing Center,"2310 Crossroads Drive, Suite 3000, Madison, WI 53718-7316"
21713,Cardinal Stritch University at Aurora Medical Center in Washington County,"1032 East Sumner Street, Hartford, WI 53027-1608"
21714,Cardinal Stritch University at Xcel Energy Monticello Training Center,"2100 W. River Street, Monticello, MN 55362-4700"
21715,Cardinal Stritch University at Owatonna Hospital,"2250 NW 26th Street, Owatonna, MN 55060-5503"
21716,Cardinal Stritch University at Aurora West Allis Medical Center,"8901 West Lincoln Avenue, West Allis, WI 53227-2409"
21717,Cardinal Stritch University at Moraine Park Technical College (West Bend Campus,"2151 North Main Street, West Bend, WI 53090-1031"
21718,Cardinal Stritch University at Park Center II,"8017 Excelsior Drive, Madison, WI 53717-1908"
21719,Cardinal Stritch University at St. Coletta of Wisconsin,"N4637 County Road Y, Jefferson, WI 53549"
21720,Cardinal Stritch University at Allianz Life Insurance Corporation of North Ameri,"5701 Golden Hills Drive, Minneapolis, MN 55416"
21721,Cardinal Stritch University  at Aurora St. Luke's Medical Center of Aurora,"2801 W. Kinnickinnic River Pkwy, Milwaukee, WI 53215-3669"
21722,Cardinal Stritch University at Prairie Island Nuclear Generating Plant Training,"1660 Wakonade Drive East, Welch, MN 55089-9638"
21723,Cardinal Stritch University at Ozaukee Elementary School,"401 Highland Dr., Fredonia, WI 53021"
21724,Riverland Community College - Albert Lea Campus,"2200 Riverland Drive, Albert Lea, MN 56007"
21725,Riverland Community College - Austin Campus,"1900 8th Avenue NW, Austin, MN 55912"
21726,Riverland Community College - Owatonna Campus,"965 Alexander Drive SW, Owatonna, MN 55060"
21727,"Froedtert Orthopaedic, Sports and Spine Center","N91 W15750 Falls Parkway, Menomonee Falls, WI 53051"
21728,Baird Milwaukee,"777 E Wisconsin Ave, Milwaukee, WI 53202-5300"
21729,Froedtert Menomonee Falls Hospital,"W180 N8085 Town Hall Road, Menomonee Falls, WI 53051"
21730,"UMOS, Inc.","2701 S. Chase Ave., Milwaukee, WI 53207-1482"
21731,Waukesha County Technical College,"800 Main Street, Waukesha, WI 53072"
21732,Milwaukee Area Technical College,"700 W. State Street, Milwaukee, WI 53233"
21733,Carroll University,"100 N East Ave, Waukesha, WI 53186"
21734,Carroll University at Gateway Technical College,"496 McCanna Parkway, Burlington, WI 53105"
21735,Carroll University at St. John's Millitary Academy,"1101 N. Genesee St., Delafield, WI 53018-1411"
21736,Carroll University at Waukesha County Technical College,"800 Main Street, Pewaukee, WI 53072"
21737,Carroll University at Racine City Hall Annex,"800 Center Street, Racine, WI 53403"
21738,Carroll University at Graduate Center,"2140 Davidson Road, Waukesha, WI 53186"
21739,Carroll University at Arrowhead H.S. North Campus,"800 North Ave, Hartland, WI 53029"
21740,Carroll University at Kettle Moraine,"563 A.J. Allen Ciricle, Wales, WI 53183"
21741,Carroll University at Pewaukee,"2240 Golf Road, Pewaukee, WI 53072"
21742,Parkway Recreation and Community Building,"2930 S. Root River P, Milwaukee, WI 53227"
21743,"The United Community Center, Walter Sava Building","615 W. Washington Street, Milwaukee, WI 53204"
21744,Carthage College,"2001 Alford Park Dr, Kenosha, WI 53140-1994"
21745,Columbia College of Nursing,"4425 North Port Washington Road, Glendale, WI 53212-1082"
21746,"Columbia College of Nursing, Inc. - Mount Mary College","2900 North Menomonee River Parkway, Milwaukee, WI 53222-4597"
21747,Concordia University,"12800 N. Lake Shore Dr., Mequon, WI 53097-2402"
21748,Concordia University Wisconsin at Fort Wayne,"6600 N. Clinton St, Ft Wayne, IN 46825"
21749,Concordia University Wisconsin at Green Bay Center,"1150 Sprinhurst Drive, Suite 101, Green Bay, WI 54304"
21750,Concordia University Wisconsin at Madison Center,"2909 Landmark Place, Suite 101, Madison, WI 53713"
21751,Cocnordia University Wisconsin at Saint Louis Center,"10825 Watson Road, Saint Louis, MO 63127"
21752,Concordia University Wisconsin at Beloit Center,"2040 Sutler Avenue, Beloit, WI 53511"
21753,Concordia University Wisconsin at Marshall Middle School,"25 S. Pontiac Dr., Janesville, WI 53545-2277"
21754,Concordia University Wisconsin at Richland Center High School,"1996 Highway 14 West, Richland Center, WI 53581-9801"
21755,Concordia University Wisconsin at Ann Arbor,"4090 Geddes RD, Ann Arbor, MI 48105"
21756,Concordia University Wisconsin at Appleton Center,"3232 N Ballard Rd Suite 201, Appleton, WI 54911"
21757,Concordia University Wisconsin at Fox Valley Lutheran High School,"5300 North Meade Street, Appleton, WI 54913-8383"
21758,Concordia University Wisconsin at Cudahy Family Library,"3500 Library Drive, Cudahy, WI 53110"
21759,Concordia University Wisconsin at Eau Claire Center,"3031 Epiphany Lane, Cudahy, WI 54703-6924"
21760,Concordia University Wisconsin at Northeast Wisconsin Lutheran HS,"1311 S. Robinson Ave, Green Bay, WI 54311-5545"
21761,Concordia University Wisconsin at Martin Luther High School,"5201 South 76th Street, Greendale, WI 53097-1117"
21762,Concordia University Wisconsin at Kenosha Center,"10222 74th Street Su, Kenosha, WI 53142-6800"
21763,Concordia University Wisconsin at National Guard - Madison,"2400 Wright Street, Madison, WI 53704-2572"
21764,Concordia University Wisconsin at Menomonee Falls High School,"W142 N8101 Merrimac, Menomonee Falls, WI 53051"
21765,Concordia University Wisconsin at Milwaukee Lutheran High School,"9700 West Grantosa Dr., Milwaukee, WI 53222-1407"
21766,Concordia University Wisconsin at Milwaukee Midtown Center,"4151 N. 56 St. Ste C, Milwaukee, WI 53216-9909"
21767,Concordia University Wisconsin at Oconomowoc Memorial Hospital,"791 Summit Ave, Oconomowoc, WI 53066-3844"
21768,Concordia University Wisconsin at Onalaska High School,"700 Hilltopper PL, Onalaska, WI 54660-6497"
21769,Concordia University Wisconsin at Racine Area Manufacturer's and Commerce Association - RAMAC,"300 5th Street, Racine, WI 53403"
21770,Concordia University Wisconsin at Racine Lutheran High School,"251 Luedtke Avenue, Racine, WI 53405"
21771,Concordia University Wisconsin at Sheboygan Lutheran High School,"3323 University Drive, Sheboygan, WI 53081-4761"
21772,Concordia University Wisconsin at Catholic Memorial High School,"601 E. College ave, Waukesha, WI 53186-5538"
21773,Concordia University Wisconsin at PHC Building,"N17W24100 Riverwood Dr., Waukesha, WI 53188-1177"
21774,Concordia University Wisconsin at Waukesha,"N14 W23777 Stone Ridge Drive Suite 290, Waukesha, WI 53188"
21775,Concordia University Wisconsin at Waukesha Memorial Hospital,"725 American Ave, Waukesha, WI 53188-5031"
21776,Concordia University Wisconsin at Waupun High School,"801 East Lincoln Street, Waupun, WI 53963-1753"
21777,Concordia University Wisconsin at NorthCentral Technical College,"1000 West Campus Drive, Wausau, WI 54401"
21778,Concordia University Wisconsin at Wausau Center,"501 Stewart Ave., Wausau, WI 54401"
21779,Concordia University Wisconsin at West Bend High School,"1305 E. Decorah Road, West Bend, WI 53095"
21780,Concordia University Wisconsin at Miller Park Way Center,"1670 Miller Park Way, West Milwaukee, WI 53214"
21781,Concordia University Wisconsin at Chippewa Valley Technical,"620 West Clairemont Avenue, Eau Claire, WI 54701-6162"
21782,Concordia University Wisconsin at Saint Louis Center,"10825 Watson Road, Saint Louis, MO 63127"
21783,Concordia University Wisconsin at Aurora Sheboygan,"2629 North 7th Street, Sheboygan, WI 83083"
21784,Concordia University Wisconsin at Dearborn Center,"22720 Michigan Avenue Suite 150, Dearborn, MI 48124-2042"
21785,Concordia University Wisconsin at Frankenmuth Center,"525 E. Genesee Street, Frankenmuth, MI 48734-1139"
21786,Concordia University Wisconsin at Jackson College,"2111 Emmons Rd., Jackson, MI 49201-8399"
21787,Concordia University Wisconsin at Cedar Ridge,"113 Cedar Ridge Drive, West Bend, WI 53095-9285"
21788,Concordia University Wisconsin at Our Savior Lutheran Church,"261 West 25th Street, Indianapolis, IN 46208-5688"
21789,Concordia University Wisconsin at Marian College,"45 South National Avenue, Fond Du Lac, WI 54935-4699"
21790,Concordia University Wisconsin at Franklin High School,"8222 South, Franklin, WI 53132-9276"
21791,Concordia University Wisconsin at Whitehorse Middle School,"218 Schenk Street, Madison, WI 53714"
21792,Concordia University Wisconsin at Appleton Center,"4351 W College Avenue, Suite 100, Appleton, WI 54914-3970"
21793,Concordia University Wisconsin at Lake Geneva,"208 South Street, Lake Geneva, WI 53147-2436"
21794,Concordia University Wisconsin at Case High School,"7345 Washington Avenue, Racine, WI 53406"
21795,Indianapolis Center,"11350 N Meridian Street Suite 200, Carmel, IN 46032"
21796,New Orleans Center,"3864 Seventeenth Street, Metairie, LA 70002-4440"
21797,Hales Corners Center,"5301 South 108 Street, Hales Corners, WI 53097-2402"
21798,Milwaukee South Center,"1127 South 35th Street, Milwaukee, WI 53125"
21799,Indianapolis Church Site - Our Savior Ev Lutheran,"261 W 25th Street, Indianapolis, IN 46208-5688"
21800,Eau Claire Center,"501 East Fillmore Avenue, Eau Claire, WI 54701-6536"
21801,St. Louis Center,"10733 Sunset Office Drive, Suite 425, St. Louis, MO 63127-1018"
21802,Diesel Truck Driver Training School,"7190 Elder Lane, Sun Prairie, WI 53590"
21803,Edgewood College,"1000 Edgewood College Drive, Madison, WI 53711-1997"
21804,Edgewood College - Deming Way Campus,"1255 Deming Way, Madison, WI 53717"
21805,Edgewood College- Edgewood College,"3201 Eaton Road, Green Bay, WI 54311"
21806,Fox Valley Technical College,"1825 N Bluemound Dr, Appleton, WI 54912-2277"
21807,Fox Valley Technical College - Oshkosh Campus,"150 N. Campbell Road, Oshkosh, WI 54903"
21808,Fox Valley Technical College at Chilton Regional Center Supervisory,"1200 E. Chestnut St., Chilton, WI 53014"
21809,Fox Valley Technical College at Clintonville Regional Center,"525 Main Street, Clintonville, WI 54929"
21810,Fox Valley Technical College at Neenah Fire Training,"1470 Tullar Road, Neenah, WI 54956"
21811,Fox Valley Technical College at Neenah Regional Center,"2320 Industrial Drive, Neenah, WI 54956"
21812,Fox Valley Technical College at S.J. Spanbauer Aviation and Industrial Center,"3601 Oregon Street, Oshkosh, WI 54903"
21813,Fox Valley Technical College at Advanced Manufacturing Technology Center,"4200 Poberezny Road, Oshkosh, WI 54901"
21814,Fox Valley Technical College at Waupaca Regional Center,"1979 Godfrey Drive, Waupaca, WI 54981"
21815,Fox Valley Technical College at Wildland Fire Training Center,"4902 N. Lynndale Drive, Appleton, WI 54913"
21816,Fox Valley Technical College at Public Safety Training Center,"W6400 County Road BB, Appleton, WI 54914"
21817,Wautoma Regional Center,"556 S. Cambridge Street, P.O. Box 650, Wautoma, WI 54982"
21818,Gateway Technical College,"3520 30th Ave, Kenosha, WI 53144-1690"
21819,Gateway Technical College - Racine Campus,"1001 S. Main Street, Racine, WI 53403-1582"
21820,Gateway Technical College - Elkhorn Campus,"400 County Road H, Elkhorn, WI 53121-2046"
21821,Gateway Technical College - Burlington Center,"496 McCanna Parkway, Burlington, WI 53105"
21822,Gateway Technical College at Horizon Center for Transportation Technology,"4940 88th Avenue, Kenosha, WI 53144"
21823,Gateway Technical College at LakeView Advanced Technology Center,"9449 - 88th Avenue, Pleasant Prairie, WI 53158"
21824,Gateway Technical College at Center for Advanced Technology and Innovation,"2320 Renaissance Blvd, Sturtevant, WI 53177"
21825,Gateway Technical College at SC Johnson Company,"2512 Willow Road, Sturtevant, WI 53177"
21826,Gateway Technical College at Wilmot Union High School,"11112 308th Avenue, Wilmot, WI 53192"
21827,Badger High School,"220 E South St., Lake Geneva, WI 53147"
21828,Racine Correctional Institute,"2019 Wisconsin Street, Sturtevant, WI 53177"
21829,Racine Youth Offender Correctional Facility,"1501 Albert Street, Racine, WI 53404"
21830,Gill Tech Academy of Hair Design,"230 South McCarthy Road, Appleton, WI 54914"
21831,The Professional Hair Design Academy,"3408 Mall Drive, Eau Claire, WI 54701-7633"
21832,Institute of Paper Science and Technology,"500 10th Street NW, Atlanta, GA 30332"
21833,Scientific College of Beauty and Barbering,"326 Pearl St, La Crosse, WI 54601"
21834,Lakeland University,"W3718 South Drive, Plymouth, WI 53073"
21835,Chippewa Valley Center,"770 Scheidler Road, Chippewa Falls, WI 54729"
21836,Green Bay Center,"2985 South Ridge Road, Green Bay, WI 54304"
21837,Kohler,"444 Highland Drive/Training Center, Kohler, WI 53044"
21838,Madison Center,"3591 Anderson Street, Ste. 101, Madison, WI 53704"
21839,Marshall High School Complex,"4141 North 64th Street, Milwaukee, WI 53216-1149"
21840,Neenah,"2320 Industrial Drive, Neenah, WI 54956"
21841,Milwaukee,"1135 South 70th Street, West Allis, WI 53214"
21842,Wisconsin Rapids,"MSTC - 500 32nd Street North, Wisconsin Rapids, WI 54494"
21843,MTEC Milwaukee Public Schools,"6620 W. Capitol Drive, Milwaukee, WI 53216"
21844,Madison Center,"1650 Pankratz Street, Madison, WI 53704"
21845,Fort McCoy,"ARRTC Building 50, Fort McCoy, WI 54656-5263"
21846,Milwaukee Center,"9000 W. Chester Street, Milwaukee, WI 53214"
21847,Lakeland University Green Bay Center,"2601 Development Drive, Green Bay, WI 54311"
21848,Lakeshore Technical College,"1290 North Ave, Cleveland, WI 53015"
21849,Lakeshore Technical College - Manitowoc Campus,"3733 Dewey Street, Manitowoc, WI 54220"
21850,Lakeshore Technical College - Sheboygan Campus,"3620 Wilgus Avenue, Sheboygan, WI 53081"
21851,Lakeshore Technical College at LTC Manitowoc,"3733 Dewey St., Manitowoc, WI 54220"
21852,Lakeshore Technical College at Lakeshore Culinary Institute,"712 Riverfront Drive, Sheboygan, WI 53081"
21853,Lakeshore Technical College at LTC Sheboygan,"3620 Wilgus Ave., Sheboygan, WI 53081"
21854,Lakeshore Technical College at Cedar Grove-Belgium High School,"321 N. 2nd Street, Cedar Grove, WI 53013"
21855,Lakeshore Technical College at Johnsonville Sausage,"N6928 Johnsonville Way, Sheboygan Falls, WI 53085"
21856,Lakeshore Technical College at Kiel High School,"210 Raider Heights, Kiel, WI 53042"
21857,Lakeshore Technical College at LTC-Plymouth Science and Technology Center,"125 Highland Avenue, Plymouth, WI 53073"
21858,Lakeshore Technical College at Mishicot High School,"660 Washington Street, Mishicot, WI 54228"
21859,Lakeshore Technical College at Reedsville High School,"340 Manitowoc Road, Reedsville, WI 54230"
21860,Lakeshore Technical College at Two Rivers High School,"4519 Lincoln Avenue, Two Rivers, WI 54241"
21861,LTC School of Agriculture,"7003 Gass Lake Road, Manitowoc, WI 54220"
21862,Aurora Sheboygan Memorial Medical Center,"2629 N 7th Street, Sheboygan, WI 53083"
21863,Felican Village,"1635 S 21st Street, Manitowoc, WI 54220"
21864,Kiel High School,"416 Paine Street, Kiel, WI 53042"
21865,Manitowoc Health and Rehabilitation Center,"2021 S Alverno Road, Manitowoc, WI 54220"
21866,Mishicot High School,"324 E Samz Road, Mishicot, WI 54228"
21867,Oosburg High School,"410 New York Avenue, Oostburg, WI 53070"
21868,Pine Haven Christian Communities,"220 Haven Drive, Sheboygan Falls, WI 53085"
21869,Plymouth Fire Department,"125 S Highland Avenue, Plymouth, WI 53073"
21870,Plymouth High School,"125 Highland Avenue, Plymouth, WI 53073"
21871,Random Lake High School,"605 Random Lake Road, Random Lake, WI 53075"
21872,Reedsville High School,"340 Manitowoc Street, Reedsville, WI 54230"
21873,Rocky Knoll Health Care Center,"N7135 Rocky Knoll Parkway, Plymouth, WI 53073"
21874,Sheboygan North High School,"2926 N 10th Street, Sheboygan, WI 53083"
