school,state,subject,course_level,time,location,group_type
"University of Arkansas, Fayetteville at Naval Support Activity Mid-South",Rhode Island,Museum Studies,600,2022-11-28,"[35.3349414, -89.8720347]",Partner
University of Illinois at Chicago - College of Medicine at Peoria,Rhode Island,Animal Behavior and Ethology,200,2021-11-28,"[40.696934999999996, -89.5968077]",Group
Washington Adventist University,Missouri,Military Science,100,2022-09-29,"[38.9868441, -77.0012376]",Group
"George Washington University at Lockheed Martin Corporation, Colorado Springs",Massachusetts,Agricultural Technology Management,500,2022-08-31,"[38.9836068, -104.80150640000001]",Partner
Holy Cross Hospital,Indiana,Church Music,200,2021-09-30,"[41.76903859999999, -87.6927027]",Group
Upper Iowa University at Mesa,Idaho,Circulation Technology,400,2021-08-29,"[33.43375, -111.8392521]",Partner
National Louis University at Booker Middle School,Iowa,Sustainable Resource Management ,100,2022-10-27,"[27.367865899999998, -82.524588]",Partner
Benedictine University at Hillside Police Department,Maryland,Furniture Design,400,2021-07-31,"[41.8780078, -87.90742949999998]",Partner
Fresno Pacific University - Hanford Satellite,Michigan,Peace Studies,700,2021-09-28,"[36.3329315, -119.690022]",Group
Holiday Inn Express & Suites,Illinois,International Relations,100,2021-11-29,"[39.55087329999999, -85.7779975]",Partner
The Field Museum,Oregon,Pre-Optometry,100,2021-09-28,"[41.8662937, -87.61676740000001]",Group
Velvatex College of Beauty Culture,Alabama,Military Science,400,2021-10-28,"[34.7356947, -92.2897035]",Partner
Pacific School of Religion,New Jersey,Museum Studies,700,2022-11-28,"[37.876146399999996, -122.26330619999999]",Group
National Louis University at Greendale High School,Kansas,Statistics ,200,2022-09-28,"[42.933418100000004, -88.00000349999998]",Partner
American International College at Arlington High School,Maine,Public Relations,200,2022-07-27,"[42.418485700000005, -71.1612832]",Group
Indiana Institute of Technology at Greenwood Office,Alabama,Kinesiology,600,2021-08-31,"[39.615732799999996, -86.08777769999998]",Group
"Indiana Wesleyan University at Hampton Inn, Michigan City",South Dakota,Finance,800,2022-10-28,"[41.6770248, -86.8932906]",Group
University of Phoenix at Clackamas Campus,New Jersey,Scandinavian Studies,300,2022-08-28,"[45.4323677, -122.56787959999998]",Partner
San Jose State University - IBM Santa Teresa Labs-Bailey Road,New Jersey,Portuguese ,500,2022-12-29,"[37.1965835, -121.7487543]",Group
Concordia University Chicago at Cowherd Middle School,Colorado,Home Economics,300,2022-12-27,"[41.76378340000001, -88.2811875]",Partner
National Louis University at Best Practice HS,Arkansas,Special Education ,300,2022-12-30,"[41.8790889, -87.67841709999998]",Partner
Fort Hays State University at Victoria,Maryland,Materials Science ,600,2021-08-27,"[38.8579049, -99.1444694]",Partner
National Louis University at Gray M. Sanborn,Kentucky,Occupational Therapy,600,2021-09-29,"[42.1119126, -88.03791340000001]",Group
Stone Academy,Illinois,Biopsychology,700,2022-12-30,"[41.267523600000004, -72.97692070000001]",Partner
University of Maryland - College Park at McDaniels College,Mississippi,Plant Pathology,400,2022-12-30,"[39.5817181, -77.00217629999999]",Partner
Aims Community College at Colorado Early College - Fort Collins,Nevada,Interior Design,400,2022-12-31,"[40.5194396, -105.052545]",Group
Strayer University Manassas Campus,Montana,Anatomy,700,2022-11-27,"[38.805068299999995, -77.5091798]",Partner
Area 31 Career Center,Washington,Industrial Management ,700,2022-12-29,"[39.7827876, -86.29340690000001]",Partner
Strayer University Arlington Campus,New Mexico,Nursing,100,2022-12-27,"[38.89100639999999, -77.08509219999998]",Group
University of Baltimore,Alaska,Environmental/Environmental Health Engineering,600,2022-12-31,"[39.3059189, -76.61645039999998]",Partner
National University -  Redding,Colorado,Pre-Seminary,200,2022-09-28,"[40.57598, -122.355097]",Partner
Judson College,North Carolina,Slavic Languages and Literatures ,200,2022-12-29,"[32.6308332, -87.3169298]",Partner
Alliant International University - Fresno,Washington,Atmospheric Science,800,2021-12-30,"[36.7667503, -119.72170020000002]",Partner
Talladega College,Washington,Medical Technology,800,2022-10-28,"[33.4330063, -86.1136203]",Partner
South Park Elementary School,Arkansas,Computer Graphics,500,2022-08-31,"[42.158907299999996, -87.86402890000001]",Group
Southeastern Illinois College,Utah,Computer Systems Analysis ,100,2022-08-29,"[37.7515929, -88.43633729999998]",Partner
McKendree University at Olney,Idaho,Aquatic Biology,400,2021-10-31,"[38.73431890000001, -88.0721355]",Partner
Post University at Meriden Business Learning Center (MBLC),Arizona,Mathematics,500,2022-11-27,"[41.5102744, -72.810475]",Partner
Kansas State University at U.S. Army Command General Staff College,California,International Business ,800,2021-09-28,"[39.3387605, -94.9203113]",Partner
Indiana Wesleyan University at Lees Inn Greenfield,Iowa,Advertising,800,2021-08-28,"[39.81895, -85.77118999999998]",Group
ITT Technical Institute - Kennesaw,California,Korean,200,2022-10-28,"[34.03283860000001, -84.6498979]",Partner
Indiana Wesleyan University at Executive Inn,Oregon,Pre-Optometry,500,2022-08-31,"[38.693956299999996, -87.497334]",Partner
Plymouth School Corporation,Mississippi,Caribbean Studies,200,2022-07-30,"[41.3461484, -86.3019755]",Group
Bridgewater State University - Alden Elementary School,Oregon,Forestry ,700,2022-11-29,"[42.0461227, -70.68178359999999]",Partner
Carrington College - Reno,Louisiana,Medical Technology,100,2022-09-27,"[39.463097, -119.78698]",Group
Newman University at Barton County Community College,Indiana,Ceramics ,600,2022-11-28,"[38.4037674, -98.73314659999998]",Partner
University of Illinois at Urbana-Champaign at Morton Arboretum,West Virginia,Sport and Leisure Studies ,400,2022-09-27,"[41.81903579999999, -88.0777622]",Partner
Louisiana State University at Shreveport,New York,Health Administration,700,2021-12-30,"[32.42848239999999, -93.70346040000001]",Partner
Franciscan Missionaries of Our Lady University,Oregon,Mathematics,400,2022-11-29,"[30.400129600000003, -91.1105056]",Group
University of Phoenix - Kansas City Campus,Oregon,Operations Management ,700,2022-10-27,"[38.9392219, -94.5796121]",Partner
University of Phoenix at Aviano,Indiana,Painting ,400,2022-09-28,"[46.0683593, 12.5789489]",Partner
Apex Academy of Hair Design Inc,North Dakota,Tourism,600,2021-07-28,"[40.112012899999996, -85.68076719999998]",Group
Litchfield  Elementary District,New Hampshire,Architectural Engineering,300,2022-09-27,"[33.4881776, -112.34914450000001]",Group
"Northern Baptist Theological Seminary - Chicago, IL",Connecticut,Molecular Biology,200,2021-11-30,"[41.75791630000001, -87.5982079]",Group
Indiana Wesleyan University at Lees Inn Merrillville,Kentucky,Mechanical Engineering,800,2022-12-30,"[41.5042227, -87.31722090000001]",Group
Colorado Technical University at Sioux Falls,New Hampshire,Public Administration ,100,2021-10-29,"[43.4968999, -96.7736585]",Group
National University -  San Jose,West Virginia,Peace Studies,600,2021-08-30,"[37.3174555, -121.9475415]",Partner
Strayer University - Schaumburg Campus,South Dakota,Molecular Biology,500,2022-07-31,"[42.0491849, -88.0327061]",Group
Saint Xavier University at Grayslake,Illinois,Neurobiology ,400,2021-10-28,"[42.3578093, -88.01054740000002]",Partner
Albertus Magnus College at New Dimensions/Waterbury,Wyoming,Astrophysics,600,2021-09-27,"[41.557458399999994, -73.0431565]",Group
Strayer University Arlington Campus,Nebraska,Public Relations,800,2022-09-28,"[38.89100639999999, -77.08509219999998]",Group
Colorado State University at Thompson School District,District  of Columbia,Korean,300,2021-11-28,"[40.3838401, -105.09620430000001]",Partner
National Louis University at Hedges Fine and Performing Arts School,Pennsylvania,Managerial Economics,100,2021-10-31,"[41.8072912, -87.67310049999998]",Partner
Moody Bible Institute at Circle Community Church,Idaho,Management Information Systems,600,2022-10-27,"[28.632139799999997, -81.4084089]",Group
National Louis University at Atlanta Campus,Wyoming,Experimental Psychology ,800,2022-07-31,"[33.874235799999994, -84.275571]",Partner
Aurora University at George Williams College,Illinois,Education Administration,800,2022-10-27,"[42.5713685, -88.5536204]",Group
Jefferson Technical College - Dawkins Road,Massachusetts,Early Childhood Education,500,2022-10-30,"[38.412011299999996, -85.4221687]",Partner
Southern Illinois University Carbondale at Lewis and Clark College,South Carolina,Museum Studies,700,2021-07-30,"[38.8669946, -90.1402201]",Partner
University of North Alabama,Ohio,Classics,200,2022-10-30,"[34.80746920000001, -87.68129379999998]",Partner
Ivy Tech Community College of Indiana at Richard Fairbanks Center,Missouri,Musical Theater,200,2022-09-28,"[39.8617086, -86.0055397]",Group
University of Phoenix at Clackamas Campus,Florida,Sound Engineering,300,2021-09-29,"[45.4323677, -122.56787959999998]",Group
Ivy Tech Community College of Indiana at Portage University Center,District  of Columbia,Native American Studies,100,2021-08-30,"[41.576257700000006, -87.17333289999998]",Group
Naval Postgraduate School,West Virginia,Nuclear Engineering,300,2022-10-30,"[36.5940851, -121.87289740000001]",Partner
Crafton Hills College,Florida,Air Traffic Control,100,2022-08-27,"[34.03942260000001, -117.10502050000001]",Partner
University of St. Francis at Indian Trail Middle School,New York,Home Economics,800,2021-12-28,"[41.6156658, -88.1966226]",Partner
Berkshire Community College,Oregon,Criminology,800,2022-09-29,"[42.457745200000005, -73.3143387]",Partner
New College of California,Vermont,Landscape Architecture ,800,2021-09-29,"[37.7605088, -122.4212203]",Group
OCU - Evansville Center,Alaska,Kinesiology,500,2022-10-31,"[37.971623799999996, -87.571676]",Group
Wilmington University - Middletown Site,Rhode Island,South Asian Studies,700,2021-07-30,"[39.4558061, -75.7174323]",Group
Harrison College - Elkhart,Kansas,International Studies ,100,2022-07-29,"[41.6793184, -85.8871502]",Group
University of Baltimore at College of Southern Maryland,North Dakota,Music Management,300,2021-07-28,"[38.529287700000005, -76.97525139999998]",Group
Indiana Wesleyan University at Microtel Inn & Suites,Virginia,Pre-Seminary,800,2022-12-28,"[39.0038939, -84.6485255]",Group
Moody Bible Institute Youngstown,Arizona,Business Education,500,2021-08-29,"[41.053905799999995, -80.65610190000001]",Partner
Abraham Baldwin Agricultural College,Connecticut,Women's Studies,100,2022-07-31,"[31.481969399999997, -83.52825880000002]",Group
Gove County Medical Center,Maryland,Spanish ,500,2022-12-29,"[39.0672851, -100.2407236]",Partner
Olivet Nazarene University at West Cook Intermediate Service Center,Michigan,Environmental/Environmental Health Engineering,200,2022-10-30,"[41.885070899999995, -87.86970559999997]",Group
Kirkwood Community College - Monticello Site,Texas,South Asian Studies,200,2022-07-28,"[42.209720000000004, -91.1848803]",Group
Louisiana Technical College - Port Allen Extension Campus,Missouri,Environmental/Environmental Health Engineering,300,2021-09-27,"[30.460754100000003, -91.2516048]",Group
Central Baptist Theological Seminary ? Carrollton,Illinois,Technical  Writing ,800,2022-12-28,"[32.951496500000005, -96.9214166]",Partner
Atlantic Technical College,Illinois,Theology ,800,2021-12-30,"[26.2433663, -80.19238849999998]",Partner
University of Maryland - University College at Bondsteel,Maryland,Jewish Studies,800,2021-09-28,"[38.91265, -76.847599]",Partner
Tolland High School,North Carolina,Engineering Mechanics ,300,2022-07-31,"[41.8719641, -72.3396673]",Partner
University of Phoenix at La Quinta Inn,Maine,Petroleum Engineering ,600,2022-10-30,"[33.6258865, -112.1151354]",Partner
Johns Hopkins University at Greenbelt Elementary School,Missouri,Logistics Management,100,2022-11-30,"[39.0123409, -76.87741079999998]",Partner
Brightwood College - San Diego,Mississippi,Pre-Dentistry,400,2021-12-28,"[32.8217179, -117.1330926]",Group
Mackaben Elementary School,Massachusetts,Engineering Physics,100,2022-11-29,"[42.1583101, -88.3753747]",Group
Newman University at Holy Family Parish Center,Nebraska,Pre-Veterinary Medicine,800,2022-11-28,"[34.6206716, -98.4940008]",Group
Central Baptist Theological Seminary - Dallas area location (at Disciples Baptist Church),Alabama,Horticulture,300,2022-11-29,"[32.954670899999996, -96.9035043]",Partner
Cornell College,Kansas,Chemical Engineering,600,2021-07-31,"[41.9245718, -91.4237652]",Group
University of Phoenix - Memphis Campus,Florida,Music Management,500,2022-07-29,"[35.129537299999996, -89.79674909999999]",Group
Eastern College of Health Vocations,District  of Columbia,Government,400,2021-12-31,"[34.7512646, -92.3420215]",Partner
University of Phoenix - Columbus Georgia Campus,Ohio,Civil Engineering,500,2022-12-31,"[32.548718900000004, -84.9532229]",Partner
Galen College of Nursing - Cincinnati,Montana,Theology ,200,2022-10-31,"[39.2837493, -84.3659808]",Group
Grand Canyon University at Phoenix Baptist Hospital,Virginia,East European Studies,200,2022-10-27,"[33.525601, -112.10206550000001]",Partner
Towson University at DuFief Elementary School,Tennessee,Bioethics,500,2021-08-27,"[39.1017001, -77.2377312]",Group
Arizona State University at Supai Middle School,Idaho,Pharmacology ,500,2022-07-28,"[33.458701500000004, -111.93747830000001]",Group
Garden City Community College,Delaware,Molecular Biology,600,2021-12-30,"[37.9706494, -100.84742270000001]",Group
Electric League of Arizona,New York,Rehabilitation Services,100,2021-10-28,"[33.4776612, -112.07100890000001]",Partner
Benedictine University at Aurora Police Department,Vermont,Animal Science,800,2021-08-29,"[41.7831701, -88.28697969999997]",Partner
Ottawa University at Scottsdale Community College,Utah,Wildlife Management ,100,2022-10-30,"[33.5129962, -111.8828774]",Partner
Imperial Valley Campus,Missouri,Information Technology,300,2021-08-30,"[32.672358, -115.49188740000001]",Partner
San Jose State University - Cisco Systems,Michigan,Toxicology,500,2022-12-28,"[37.4083615, -121.95415449999999]",Partner
Orange Technical College - Winter Park Campus,Kentucky,Forensic Science,400,2022-12-29,"[28.525588399999997, -81.15104609999999]",Partner
US Steel/Gary Works,Idaho,Physical Education ,700,2021-08-27,"[41.5508989, -87.32115929999998]",Group
University of Colorado Denver at Fort Lewis College - PSC,Georgia,Agricultural Technology Management,800,2022-07-30,"[37.27376470000001, -107.87104440000002]",Partner
"Strayer University - Stafford, TX Campus",Wyoming,Finance,500,2022-08-29,"[29.6379619, -95.581731]",Group
Augustus Shaw Elementary School,Kansas,European History,800,2022-10-29,"[33.4493478, -112.05322609999999]",Partner
University of Maine at Farmington at South Paris Center of University College,Arkansas,Landscape Horticulture,200,2021-11-30,"[44.21342070000001, -70.5254104]",Group
DeSoto Center,Alabama,Drawing,600,2022-09-30,"[27.223204100000004, -81.8558302]",Partner
Frostburg State University,Massachusetts,Merchandising and Buying Operations,800,2021-07-29,"[39.649876500000005, -78.9345627]",Partner
Cossatot Community College of the University of Arkansas,Georgia,Painting ,100,2022-12-31,"[34.0418821, -94.3646085]",Group
Coral Springs Charter School,Oklahoma,Molecular Biology,700,2021-12-27,"[26.2708397, -80.24843879999999]",Group
Decatur Memorial Hospital,Utah,Culinary Arts,800,2022-09-27,"[39.866851200000006, -88.9618217]",Group
Winnebago Regional Office of Education,South Carolina,Clinical Psychology ,800,2021-10-30,"[42.31414829999999, -89.04622839999998]",Group
Loyola University Maryland at Bishop McNamara High School,Connecticut,German ,400,2021-08-28,"[38.8523089, -76.8895567]",Group
Olivet Nazarene University at OakBrook International Office Center,West Virginia,Communications Studies/Speech Communication and Rhetoric,600,2021-11-30,"[41.8422737, -87.9875215]",Group
Searcy Beauty College Inc,North Dakota,Islamic Studies ,200,2021-11-30,"[35.239117900000004, -91.7350997]",Group
Empire College,Maine,Chinese ,600,2021-11-30,"[38.4680351, -122.72932800000001]",Partner
Upper Keys Center,Ohio,Architecture,300,2021-12-29,"[24.943391199999997, -80.60577719999998]",Group
Everest College - Reseda,Oregon,Managerial Economics,300,2021-07-29,"[34.2008031, -118.52680339999999]",Partner
Upper Iowa University at Wausau: NTC - Antigo,Illinois,Genetics ,400,2022-09-30,"[45.12843669999999, -89.1361956]",Partner
Aurora University at DeKalb School District #428-DeKalb High School,Nebraska,Rural Sociology,300,2022-11-27,"[41.9115234, -88.75466109999998]",Group
Governors State University at Kankakee Education Center,Minnesota,Equine Studies,400,2022-11-30,"[41.119275200000004, -87.8646043]",Group
Indiana University Kokomo,Arizona,Southeast Asia Studies ,700,2022-08-30,"[40.45942539999999, -86.13164609999998]",Partner
Salisbury University at University System of Maryland in Hagerstown,Oklahoma,Business Communications,300,2022-08-28,"[39.642645, -77.721057]",Group
Eastern Illinois University at American Indian Association of Illinois,Vermont,Agricultural Technology Management,600,2022-11-28,"[42.0010612, -87.6951108]",Partner
Methodist College,Vermont,Artificial Intelligence and Robotics,300,2022-07-30,"[40.7801836, -89.6829431]",Group
Hair Fashions By Kaye Beauty College,Maine,Art History,500,2021-09-27,"[39.906878999999996, -86.05899699999998]",Partner
Olivet Nazarene University at Emily G. Johns Elementary School,Missouri,Construction Management,100,2021-09-28,"[41.6579287, -88.5019015]",Partner
Lake Forest Graduate School of Management at Lake Forest Hospital Acute Care Center,Idaho,Pre-Veterinary Medicine,700,2022-11-29,"[42.33739, -88.0122296]",Group
Illinois State University at Lincoln Magnet School,California,Chemistry,800,2021-09-28,"[39.7987379, -89.64009519999998]",Group
Velvatex College of Beauty Culture,Rhode Island,Art Therapy,100,2021-09-28,"[34.7356947, -92.2897035]",Group
Chicago Theological Seminary,North Carolina,Caribbean Studies,800,2022-10-27,"[41.7856873, -87.5910437]",Group
Bowie State University at USM Shady Grove Center,Nevada,Art History,300,2022-09-29,"[39.0947683, -77.20098829999998]",Group
University of Maine at Augusta at Sumner Memorial High School,Kansas,Visual Communication,800,2022-10-31,"[44.5263461, -68.21537729999999]",Group
Adams State University MCC Outreach Center Yuma,South Carolina,Information Technology,600,2022-12-28,"[40.1235849, -102.72345490000001]",Group
College of Southern Maryland - Waldorf Center,Utah,Bioethics,800,2021-11-28,"[38.6225331, -76.91150090000001]",Group
Olivet Nazarene University at Schubert Elementary,Maryland,Naval Architecture,600,2022-10-31,"[41.930049200000006, -87.76072679999999]",Partner
Key West Education Center,Kansas,Women's Studies,100,2021-08-30,"[24.577080300000002, -81.7000637]",Partner
Center for Employment Training - Durham,Kentucky,Nutrition,400,2022-08-27,"[35.924819, -78.8440153]",Partner
Community College of Denver at Lowry,California,Athletic Training,400,2021-12-27,"[39.7308712, -104.8828156]",Partner
